"Event Name";"Currency";"Date";"Actual";"Forecast";"Previous"
"Manufacturing PMI";"EUR";"05:00";"2022-03-03";"55.5";"55.8";"51.1"
"PPI (YoY)";"EUR";"06:00";"2022-03-03";"30.6%";"26.9%";"26.3%"
"PPI (MoM)";"EUR";"06:00";"2022-03-03";"5.2%";"2.3%";"3.0%"
"Unemployment Rate";"EUR";"06:00";"2022-03-03";"6.8%";"7.0%";"7.0%"
"Initial Jobless Claims";"USD";"09:30";"2022-03-03";"215K";"226K";"233K"
"Manufacturing PMI";"USD";"10:45";"2022-03-03";"56.5";"56.7";"51.2"
"Manufacturing PMI";"USD";"11:00";"2022-03-03";"56.5";"61.0";"59.9"
"Retail Sales (MoM)";"EUR";"06:00";"2022-03-04";"0.2%";"1.5%";"-2.7%"
"Retail Sales (YoY)";"EUR";"06:00";"2022-03-04";"7.8%";"9.5%";"2.1%"
"Unemployment Rate";"USD";"09:30";"2022-03-04";"3.8%";"3.9%";"4.0%"
"Exports";"USD";"09:30";"2022-03-08";"224.40B";"";"228.35B"
"Imports";"USD";"09:30";"2022-03-08";"314.09B";"";"310.30B"
"Imports";"USD";"11:30";"2022-03-09";"1.926M";"";"-2.171M"
"Core CPI (YoY)";"USD";"09:30";"2022-03-10";"6.4%";"5.9%";"6.0%"
"Core CPI (MoM)";"USD";"09:30";"2022-03-10";"0.5%";"0.5%";"0.6%"
"CPI (MoM)";"USD";"09:30";"2022-03-10";"0.8%";"0.8%";"0.6%"
"CPI (YoY)";"USD";"09:30";"2022-03-10";"7.9%";"7.9%";"7.5%"
"Initial Jobless Claims";"USD";"09:30";"2022-03-10";"227K";"217K";"216K"
"CPI (MoM)";"USD";"11:00";"2022-03-10";"0.5%";"";"0.6%"
"Core PPI (YoY)";"USD";"08:30";"2022-03-15";"8.4%";"8.7%";"8.5%"
"Core PPI (MoM)";"USD";"08:30";"2022-03-15";"0.2%";"0.6%";"1.0%"
"PPI (YoY)";"USD";"08:30";"2022-03-15";"10.0%";"10.0%";"10.0%"
"PPI (MoM)";"USD";"08:30";"2022-03-15";"0.8%";"0.9%";"1.2%"
"Retail Sales (MoM)";"USD";"08:30";"2022-03-16";"0.2%";"0.9%";"4.4%"
"Retail Sales (YoY)";"USD";"08:30";"2022-03-16";"17.62%";"";"14.00%"
"Retail Sales (MoM)";"USD";"08:30";"2022-03-16";"0.3%";"0.4%";"4.9%"
"Imports";"USD";"10:30";"2022-03-16";"-0.438M";"";"1.926M"
"Core CPI (YoY)";"EUR";"06:00";"2022-03-17";"2.7%";"2.7%";"2.7%"
"Core CPI (MoM)";"EUR";"06:00";"2022-03-17";"0.5%";"0.5%";"0.5%"
"CPI (YoY)";"EUR";"06:00";"2022-03-17";"5.9%";"5.8%";"5.8%"
"CPI (MoM)";"EUR";"06:00";"2022-03-17";"0.9%";"0.9%";"0.3%"
"Initial Jobless Claims";"USD";"08:30";"2022-03-17";"214K";"220K";"229K"
"Existing Home Sales";"USD";"10:00";"2022-03-18";"6.02M";"6.10M";"6.49M"
"Existing Home Sales (MoM)";"USD";"10:00";"2022-03-18";"-7.2%";"-1.0%";"6.6%"
"Imports";"USD";"10:30";"2022-03-23";"-0.817M";"";"-0.438M"
"Manufacturing PMI";"EUR";"05:00";"2022-03-24";"57.0";"56.0";"58.2"
"Manufacturing PMI";"EUR";"05:00";"2022-03-24";"54.8";"54.2";"55.5"
"Initial Jobless Claims";"USD";"08:30";"2022-03-24";"187K";"212K";"215K"
"Manufacturing PMI";"USD";"09:45";"2022-03-24";"58.5";"56.3";"57.3"
"Manufacturing PMI";"USD";"09:45";"2022-03-24";"58.9";"56.0";"56.5"
"Imports";"USD";"10:30";"2022-03-30";"0.629M";"";"-0.817M"
"Unemployment Rate";"EUR";"05:00";"2022-03-31";"6.8%";"6.7%";"6.9%"
"Initial Jobless Claims";"USD";"08:30";"2022-03-31";"202K";"197K";"188K"
"Manufacturing PMI";"EUR";"04:00";"2022-04-01";"56.5";"57.0";"58.2"
"Core CPI (YoY)";"EUR";"05:00";"2022-04-01";"3.0%";"3.1%";"2.7%"
"Core CPI (MoM)";"EUR";"05:00";"2022-04-01";"2.5%";"";"0.9%"
"CPI (YoY)";"EUR";"05:00";"2022-04-01";"7.5%";"6.6%";"5.9%"
"CPI (MoM)";"EUR";"05:00";"2022-04-01";"2.5%";"";"0.9%"
"Unemployment Rate";"USD";"08:30";"2022-04-01";"3.6%";"3.7%";"3.8%"
"Manufacturing PMI";"USD";"09:45";"2022-04-01";"58.8";"58.5";"57.3"
"Manufacturing PMI";"USD";"10:00";"2022-04-01";"57.1";"59.0";"58.6"
"Manufacturing PMI";"EUR";"04:00";"2022-04-05";"55.6";"54.8";"55.5"
"Exports";"USD";"08:30";"2022-04-05";"228.60B";"";"224.40B"
"Imports";"USD";"08:30";"2022-04-05";"317.80B";"";"313.70B"
"Manufacturing PMI";"USD";"09:45";"2022-04-05";"58.0";"58.9";"56.5"
"Manufacturing PMI";"USD";"10:00";"2022-04-05";"58.3";"58.4";"56.5"
"PPI (MoM)";"EUR";"05:00";"2022-04-06";"1.1%";"1.3%";"5.1%"
"PPI (YoY)";"EUR";"05:00";"2022-04-06";"31.4%";"31.5%";"30.6%"
"Imports";"USD";"10:30";"2022-04-06";"-0.664M";"";"0.629M"
"Retail Sales (YoY)";"EUR";"05:00";"2022-04-07";"5.0%";"4.8%";"8.4%"
"Retail Sales (MoM)";"EUR";"05:00";"2022-04-07";"0.3%";"0.6%";"0.2%"
"Initial Jobless Claims";"USD";"08:30";"2022-04-07";"166K";"200K";"171K"
"Core CPI (YoY)";"USD";"08:30";"2022-04-12";"6.5%";"6.6%";"6.4%"
"Core CPI (MoM)";"USD";"08:30";"2022-04-12";"0.3%";"0.5%";"0.5%"
"CPI (MoM)";"USD";"08:30";"2022-04-12";"1.2%";"1.2%";"0.8%"
"CPI (YoY)";"USD";"08:30";"2022-04-12";"8.5%";"8.4%";"7.9%"
"CPI (MoM)";"USD";"11:00";"2022-04-12";"0.5%";"";"0.5%"
"Core PPI (MoM)";"USD";"08:30";"2022-04-13";"1.0%";"0.5%";"0.4%"
"Core PPI (YoY)";"USD";"08:30";"2022-04-13";"9.2%";"8.4%";"8.7%"
"PPI (YoY)";"USD";"08:30";"2022-04-13";"11.2%";"10.6%";"10.3%"
"PPI (MoM)";"USD";"08:30";"2022-04-13";"1.4%";"1.1%";"0.9%"
"Imports";"USD";"10:30";"2022-04-13";"1.208M";"";"-0.664M"
