"Event Name";"Currency";"Date";"Actual";"Forecast";"Previous"
"PPI (YoY)";"USD";"09:30";"2023-01-18";"6.2%";"6.8%";"7.3%"
"PPI (MoM)";"USD";"09:30";"2023-01-18";"-0.5%";"-0.1%";"0.2%"
"Retail Sales (MoM)";"USD";"09:30";"2023-01-18";"-1.1%";"-0.8%";"-1.0%"
"Retail Sales (YoY)";"USD";"09:30";"2023-01-18";"6.02%";"";"6.01%"
"Initial Jobless Claims";"USD";"09:30";"2023-01-19";"190K";"214K";"205K"
"Imports";"USD";"12:00";"2023-01-19";"-1.224M";"";"2.708M"
"Existing Home Sales (MoM)";"USD";"11:00";"2023-01-20";"-1.5%";"-5.4%";"-7.9%"
"Existing Home Sales";"USD";"11:00";"2023-01-20";"4.02M";"3.96M";"4.08M"
"Manufacturing PMI";"EUR";"05:00";"2023-01-24";"48.8";"48.5";"47.8"
"Manufacturing PMI";"EUR";"05:00";"2023-01-24";"50.7";"50.2";"49.8"
"Manufacturing PMI";"USD";"10:45";"2023-01-24";"46.8";"46.0";"46.2"
"Manufacturing PMI";"USD";"10:45";"2023-01-24";"46.6";"45.0";"44.7"
"Imports";"USD";"11:30";"2023-01-25";"-1.791M";"";"-1.224M"
"Initial Jobless Claims";"USD";"09:30";"2023-01-26";"186K";"205K";"192K"
"Manufacturing PMI";"EUR";"05:00";"2023-02-01";"48.8";"48.8";"47.8"
"Core CPI (MoM)";"EUR";"06:00";"2023-02-01";"-0.8%";"-0.2%";"0.6%"
"Core CPI (YoY)";"EUR";"06:00";"2023-02-01";"5.2%";"5.4%";"5.2%"
"CPI (YoY)";"EUR";"06:00";"2023-02-01";"8.5%";"9.0%";"9.2%"
"CPI (MoM)";"EUR";"06:00";"2023-02-01";"-0.4%";"-0.3%";"-0.4%"
"Unemployment Rate";"EUR";"06:00";"2023-02-01";"6.6%";"6.5%";"6.6%"
"Manufacturing PMI";"USD";"10:45";"2023-02-01";"46.9";"46.8";"46.8"
"Manufacturing PMI";"USD";"11:00";"2023-02-01";"47.4";"48.0";"48.4"
"Imports";"USD";"11:30";"2023-02-01";"2.593M";"";"-1.791M"
"Initial Jobless Claims";"USD";"09:30";"2023-02-02";"183K";"200K";"186K"
"Manufacturing PMI";"EUR";"05:00";"2023-02-03";"50.8";"50.7";"49.8"
"PPI (YoY)";"EUR";"06:00";"2023-02-03";"24.6%";"22.5%";"27.0%"
"PPI (MoM)";"EUR";"06:00";"2023-02-03";"1.1%";"-0.4%";"-1.0%"
"Unemployment Rate";"USD";"09:30";"2023-02-03";"3.4%";"3.6%";"3.5%"
"Manufacturing PMI";"USD";"10:45";"2023-02-03";"46.8";"46.6";"44.7"
"Manufacturing PMI";"USD";"11:00";"2023-02-03";"55.2";"50.4";"49.2"
"Retail Sales (YoY)";"EUR";"06:00";"2023-02-06";"-2.8%";"-2.7%";"-2.5%"
"Retail Sales (MoM)";"EUR";"06:00";"2023-02-06";"-2.7%";"-2.5%";"1.2%"
"Exports";"USD";"09:30";"2023-02-07";"250.20B";"";"252.40B"
"Imports";"USD";"09:30";"2023-02-07";"317.60B";"";"313.40B"
"Imports";"USD";"11:30";"2023-02-08";"0.367M";"";"2.593M"
"Initial Jobless Claims";"USD";"09:30";"2023-02-09";"196K";"190K";"183K"
"Core CPI (MoM)";"USD";"09:30";"2023-02-14";"0.4%";"0.4%";"0.4%"
"Core CPI (YoY)";"USD";"09:30";"2023-02-14";"5.6%";"5.5%";"5.7%"
"CPI (YoY)";"USD";"09:30";"2023-02-14";"6.4%";"6.2%";"6.5%"
"CPI (MoM)";"USD";"09:30";"2023-02-14";"0.5%";"0.5%";"0.1%"
"CPI (MoM)";"USD";"12:00";"2023-02-14";"0.7%";"";"0.6%"
"Retail Sales (MoM)";"USD";"09:30";"2023-02-15";"2.3%";"0.8%";"-0.9%"
"Retail Sales (YoY)";"USD";"09:30";"2023-02-15";"6.38%";"";"5.89%"
"Retail Sales (MoM)";"USD";"09:30";"2023-02-15";"3.0%";"1.8%";"-1.1%"
"Imports";"USD";"11:30";"2023-02-15";"-1.072M";"";"0.367M"
"Core PPI (MoM)";"USD";"09:30";"2023-02-16";"0.5%";"0.3%";"0.3%"
"Core PPI (YoY)";"USD";"09:30";"2023-02-16";"5.4%";"4.9%";"5.8%"
"Initial Jobless Claims";"USD";"09:30";"2023-02-16";"194K";"200K";"195K"
"PPI (MoM)";"USD";"09:30";"2023-02-16";"0.7%";"0.4%";"-0.2%"
"PPI (YoY)";"USD";"09:30";"2023-02-16";"6.0%";"5.4%";"6.5%"
"Manufacturing PMI";"EUR";"05:00";"2023-02-21";"48.5";"49.3";"48.8"
"Manufacturing PMI";"EUR";"05:00";"2023-02-21";"53.0";"51.0";"50.8"
"Manufacturing PMI";"USD";"10:45";"2023-02-21";"47.8";"47.1";"46.9"
"Manufacturing PMI";"USD";"10:45";"2023-02-21";"50.5";"47.2";"46.8"
"Existing Home Sales (MoM)";"USD";"11:00";"2023-02-21";"-0.7%";"2.0%";"-2.2%"
"Existing Home Sales";"USD";"11:00";"2023-02-21";"4.00M";"4.10M";"4.03M"
"Core CPI (YoY)";"EUR";"06:00";"2023-02-23";"5.3%";"5.2%";"5.2%"
"Core CPI (MoM)";"EUR";"06:00";"2023-02-23";"-0.8%";"-0.8%";"-0.8%"
"CPI (MoM)";"EUR";"06:00";"2023-02-23";"-0.2%";"-0.2%";"-0.4%"
"CPI (YoY)";"EUR";"06:00";"2023-02-23";"8.6%";"8.6%";"9.2%"
"Initial Jobless Claims";"USD";"09:30";"2023-02-23";"192K";"200K";"195K"
"Imports";"USD";"12:00";"2023-02-23";"-1.357M";"";"-1.072M"
"Manufacturing PMI";"EUR";"05:00";"2023-03-01";"48.5";"48.5";"48.8"
"Manufacturing PMI";"USD";"10:45";"2023-03-01";"47.3";"47.8";"46.9"
"Manufacturing PMI";"USD";"11:00";"2023-03-01";"47.7";"48.0";"47.4"
"Imports";"USD";"11:30";"2023-03-01";"-1.150M";"";"-1.357M"
"Core CPI (MoM)";"EUR";"06:00";"2023-03-02";"0.8%";"";"-0.8%"
"Core CPI (YoY)";"EUR";"06:00";"2023-03-02";"5.6%";"5.3%";"5.3%"
"CPI (YoY)";"EUR";"06:00";"2023-03-02";"8.5%";"8.2%";"8.6%"
"CPI (MoM)";"EUR";"06:00";"2023-03-02";"0.8%";"";"-0.2%"
"Unemployment Rate";"EUR";"06:00";"2023-03-02";"6.7%";"6.6%";"6.7%"
"Initial Jobless Claims";"USD";"09:30";"2023-03-02";"190K";"195K";"192K"
"Manufacturing PMI";"EUR";"05:00";"2023-03-03";"52.7";"53.0";"50.8"
"PPI (MoM)";"EUR";"06:00";"2023-03-03";"-2.8%";"-0.3%";"1.1%"
"PPI (YoY)";"EUR";"06:00";"2023-03-03";"15.0%";"17.7%";"24.6%"
"Manufacturing PMI";"USD";"10:45";"2023-03-03";"50.6";"50.5";"46.8"
"Manufacturing PMI";"USD";"11:00";"2023-03-03";"55.1";"54.5";"55.2"
"Retail Sales (YoY)";"EUR";"06:00";"2023-03-06";"-2.3%";"-1.8%";"-2.8%"
"Retail Sales (MoM)";"EUR";"06:00";"2023-03-06";"0.3%";"1.0%";"-1.6%"
"Exports";"USD";"09:30";"2023-03-08";"257.50B";"";"249.00B"
"Imports";"USD";"09:30";"2023-03-08";"325.80B";"";"316.20B"
"Imports";"USD";"11:30";"2023-03-08";"2.330M";"";"-1.150M"
"Initial Jobless Claims";"USD";"09:30";"2023-03-09";"211K";"195K";"190K"
"Unemployment Rate";"USD";"09:30";"2023-03-10";"3.6%";"3.4%";"3.4%"
"Core CPI (MoM)";"USD";"08:30";"2023-03-14";"0.5%";"0.4%";"0.4%"
"Core CPI (YoY)";"USD";"08:30";"2023-03-14";"5.5%";"5.5%";"5.6%"
"CPI (MoM)";"USD";"08:30";"2023-03-14";"0.4%";"0.4%";"0.5%"
"CPI (YoY)";"USD";"08:30";"2023-03-14";"6.0%";"6.0%";"6.4%"
"CPI (MoM)";"USD";"11:00";"2023-03-14";"0.6%";"";"0.7%"
"Core PPI (YoY)";"USD";"08:30";"2023-03-15";"4.4%";"5.2%";"5.0%"
"Core PPI (MoM)";"USD";"08:30";"2023-03-15";"0.0%";"0.4%";"0.1%"
"Retail Sales (MoM)";"USD";"08:30";"2023-03-15";"-0.1%";"-0.1%";"2.4%"
"PPI (YoY)";"USD";"08:30";"2023-03-15";"4.6%";"5.4%";"5.7%"
"PPI (MoM)";"USD";"08:30";"2023-03-15";"-0.1%";"0.3%";"0.3%"
"Retail Sales (MoM)";"USD";"08:30";"2023-03-15";"-0.4%";"-0.3%";"3.2%"
"Retail Sales (YoY)";"USD";"08:30";"2023-03-15";"5.39%";"";"7.68%"
"Imports";"USD";"10:30";"2023-03-15";"-1.720M";"";"2.330M"
"Initial Jobless Claims";"USD";"08:30";"2023-03-16";"192K";"205K";"212K"
"Core CPI (MoM)";"EUR";"06:00";"2023-03-17";"0.8%";"0.8%";"-0.8%"
"Core CPI (YoY)";"EUR";"06:00";"2023-03-17";"5.6%";"5.6%";"5.3%"
"CPI (YoY)";"EUR";"06:00";"2023-03-17";"8.5%";"8.5%";"8.6%"
"CPI (MoM)";"EUR";"06:00";"2023-03-17";"0.8%";"0.8%";"-0.2%"
"Existing Home Sales";"USD";"10:00";"2023-03-21";"4.58M";"4.19M";"4.00M"
"Existing Home Sales (MoM)";"USD";"10:00";"2023-03-21";"14.5%";"5.0%";"-0.7%"
"Imports";"USD";"10:30";"2023-03-22";"0.051M";"";"-1.720M"
"Initial Jobless Claims";"USD";"08:30";"2023-03-23";"191K";"197K";"192K"
"Manufacturing PMI";"EUR";"05:00";"2023-03-24";"47.1";"49.0";"48.5"
"Manufacturing PMI";"EUR";"05:00";"2023-03-24";"55.6";"52.5";"52.7"
"Manufacturing PMI";"USD";"09:45";"2023-03-24";"49.3";"47.0";"47.3"
"Manufacturing PMI";"USD";"09:45";"2023-03-24";"53.8";"50.5";"50.6"
"Imports";"USD";"10:30";"2023-03-29";"-0.499M";"";"0.051M"
"Initial Jobless Claims";"USD";"08:30";"2023-03-30";"198K";"196K";"191K"
"Core CPI (MoM)";"EUR";"05:00";"2023-03-31";"1.2%";"0.6%";"0.8%"
"Core CPI (YoY)";"EUR";"05:00";"2023-03-31";"5.7%";"5.7%";"5.6%"
"CPI (MoM)";"EUR";"05:00";"2023-03-31";"0.9%";"0.8%";"0.8%"
"CPI (YoY)";"EUR";"05:00";"2023-03-31";"6.9%";"7.1%";"8.5%"
"Unemployment Rate";"EUR";"05:00";"2023-03-31";"6.6%";"6.7%";"6.6%"
"Manufacturing PMI";"EUR";"04:00";"2023-04-03";"47.3";"47.1";"48.5"
"Manufacturing PMI";"USD";"09:45";"2023-04-03";"49.2";"49.3";"47.3"
"Manufacturing PMI";"USD";"10:00";"2023-04-03";"46.3";"47.5";"47.7"
"PPI (MoM)";"EUR";"05:00";"2023-04-04";"-0.5%";"-0.3%";"-2.8%"
"PPI (YoY)";"EUR";"05:00";"2023-04-04";"13.2%";"13.3%";"15.1%"
"Manufacturing PMI";"EUR";"04:00";"2023-04-05";"55.0";"55.6";"52.7"
"Exports";"USD";"08:30";"2023-04-05";"251.15B";"250.40B";"258.10B"
"Imports";"USD";"08:30";"2023-04-05";"321.70B";"319.40B";"326.70B"
"Manufacturing PMI";"USD";"09:45";"2023-04-05";"52.6";"53.8";"50.6"
"Manufacturing PMI";"USD";"10:00";"2023-04-05";"51.2";"54.5";"55.1"
"Imports";"USD";"10:30";"2023-04-05";"1.164M";"-0.137M";"-0.499M"
"Initial Jobless Claims";"USD";"08:30";"2023-04-06";"228K";"200K";"246K"
"Unemployment Rate";"USD";"08:30";"2023-04-07";"3.5%";"3.6%";"3.6%"
"Retail Sales (MoM)";"EUR";"05:00";"2023-04-11";"-0.8%";"-0.8%";"0.8%"
"Retail Sales (YoY)";"EUR";"05:00";"2023-04-11";"-3.0%";"-3.5%";"-1.8%"
"Core CPI (YoY)";"USD";"08:30";"2023-04-12";"5.6%";"5.6%";"5.5%"
"Core CPI (MoM)";"USD";"08:30";"2023-04-12";"0.4%";"0.4%";"0.5%"
"CPI (MoM)";"USD";"08:30";"2023-04-12";"0.1%";"0.2%";"0.4%"
"CPI (YoY)";"USD";"08:30";"2023-04-12";"5.0%";"5.2%";"6.0%"
"Imports";"USD";"10:30";"2023-04-12";"1.561M";"-0.757M";"1.164M"
"CPI (MoM)";"USD";"11:00";"2023-04-12";"0.4%";"0.6%";"0.6%"
"Core PPI (MoM)";"USD";"08:30";"2023-04-13";"-0.1%";"0.3%";"0.2%"
"Core PPI (YoY)";"USD";"08:30";"2023-04-13";"3.4%";"3.4%";"4.8%"
"Initial Jobless Claims";"USD";"08:30";"2023-04-13";"239K";"232K";"228K"
"PPI (MoM)";"USD";"08:30";"2023-04-13";"-0.5%";"0.1%";"0.0%"
"PPI (YoY)";"USD";"08:30";"2023-04-13";"2.7%";"3.0%";"4.9%"
"Retail Sales (MoM)";"USD";"08:30";"2023-04-14";"-0.8%";"-0.3%";"0.0%"
"Retail Sales (MoM)";"USD";"08:30";"2023-04-14";"-1.0%";"-0.4%";"-0.2%"
"Retail Sales (YoY)";"USD";"08:30";"2023-04-14";"2.94%";"5.90%";"5.88%"
"Core CPI (MoM)";"EUR";"05:00";"2023-04-19";"1.3%";"1.2%";"0.8%"
"Core CPI (YoY)";"EUR";"05:00";"2023-04-19";"5.7%";"5.7%";"5.6%"
"CPI (YoY)";"EUR";"05:00";"2023-04-19";"6.9%";"6.9%";"8.5%"
"CPI (MoM)";"EUR";"05:00";"2023-04-19";"0.9%";"0.9%";"0.8%"
"Imports";"USD";"10:30";"2023-04-19";"-1.743M";"-0.778M";"1.561M"
"Initial Jobless Claims";"USD";"08:30";"2023-04-20";"245K";"240K";"240K"
"Existing Home Sales";"USD";"10:00";"2023-04-20";"4.44M";"4.50M";"4.55M"
"Existing Home Sales (MoM)";"USD";"10:00";"2023-04-20";"-2.4%";"5.0%";"13.8%"
"Manufacturing PMI";"EUR";"04:00";"2023-04-21";"45.5";"48.0";"47.3"
"Manufacturing PMI";"EUR";"04:00";"2023-04-21";"56.6";"54.5";"55.0"
"Manufacturing PMI";"USD";"09:45";"2023-04-21";"50.4";"49.0";"49.2"
"Manufacturing PMI";"USD";"09:45";"2023-04-21";"53.7";"51.5";"52.6"
"Imports";"USD";"10:30";"2023-04-26";"-0.166M";"-0.300M";"-1.743M"
"Initial Jobless Claims";"USD";"08:30";"2023-04-27";"230K";"248K";"246K"
"Manufacturing PMI";"USD";"09:45";"2023-05-01";"50.2";"50.4";"49.2"
"Manufacturing PMI";"USD";"10:00";"2023-05-01";"47.1";"46.8";"46.3"
"Manufacturing PMI";"EUR";"04:00";"2023-05-02";"45.8";"45.5";"47.3"
"Core CPI (MoM)";"EUR";"05:00";"2023-05-02";"1.0%";"1.1%";"1.3%"
"Core CPI (YoY)";"EUR";"05:00";"2023-05-02";"5.6%";"5.7%";"5.7%"
"CPI (YoY)";"EUR";"05:00";"2023-05-02";"7.0%";"7.0%";"6.9%"
"CPI (MoM)";"EUR";"05:00";"2023-05-02";"0.7%";"0.9%";"0.9%"
"Unemployment Rate";"EUR";"05:00";"2023-05-03";"6.5%";"6.6%";"6.6%"
"Manufacturing PMI";"USD";"09:45";"2023-05-03";"53.6";"53.7";"52.6"
"Manufacturing PMI";"USD";"10:00";"2023-05-03";"51.9";"51.8";"51.2"
"Imports";"USD";"10:30";"2023-05-03";"0.102M";"1.589M";"-0.166M"
"Manufacturing PMI";"EUR";"04:00";"2023-05-04";"56.2";"56.6";"55.0"
"PPI (YoY)";"EUR";"05:00";"2023-05-04";"5.9%";"5.9%";"13.3%"
"PPI (MoM)";"EUR";"05:00";"2023-05-04";"-1.6%";"-1.7%";"-0.4%"
"Exports";"USD";"08:30";"2023-05-04";"256.20B";"";"250.90B"
"Imports";"USD";"08:30";"2023-05-04";"320.40B";"";"321.50B"
"Initial Jobless Claims";"USD";"08:30";"2023-05-04";"242K";"240K";"229K"
"Retail Sales (YoY)";"EUR";"05:00";"2023-05-05";"-3.8%";"-3.1%";"-2.4%"
"Retail Sales (MoM)";"EUR";"05:00";"2023-05-05";"-1.2%";"-0.1%";"-0.2%"
"Unemployment Rate";"USD";"08:30";"2023-05-05";"3.4%";"3.6%";"3.5%"
"Core CPI (MoM)";"USD";"08:30";"2023-05-10";"0.4%";"0.4%";"0.4%"
"Core CPI (YoY)";"USD";"08:30";"2023-05-10";"5.5%";"5.5%";"5.6%"
"CPI (YoY)";"USD";"08:30";"2023-05-10";"4.9%";"5.0%";"5.0%"
"CPI (MoM)";"USD";"08:30";"2023-05-10";"0.4%";"0.4%";"0.1%"
"Imports";"USD";"10:30";"2023-05-10";"1.018M";"";"0.102M"
"CPI (MoM)";"USD";"11:00";"2023-05-10";"0.4%";"0.6%";"0.4%"
"Core PPI (MoM)";"USD";"08:30";"2023-05-11";"0.2%";"0.2%";"0.0%"
"Core PPI (YoY)";"USD";"08:30";"2023-05-11";"3.2%";"3.3%";"3.4%"
"Initial Jobless Claims";"USD";"08:30";"2023-05-11";"264K";"245K";"242K"
"PPI (YoY)";"USD";"08:30";"2023-05-11";"2.3%";"2.4%";"2.7%"
"PPI (MoM)";"USD";"08:30";"2023-05-11";"0.2%";"0.3%";"-0.4%"
"Retail Sales (MoM)";"USD";"08:30";"2023-05-16";"0.4%";"0.4%";"-0.5%"
"Retail Sales (MoM)";"USD";"08:30";"2023-05-16";"0.4%";"0.8%";"-0.7%"
"Retail Sales (YoY)";"USD";"08:30";"2023-05-16";"1.60%";"4.20%";"2.42%"
"Core CPI (YoY)";"EUR";"05:00";"2023-05-17";"5.6%";"5.6%";"5.7%"
"Core CPI (MoM)";"EUR";"05:00";"2023-05-17";"1.0%";"1.0%";"1.3%"
"CPI (MoM)";"EUR";"05:00";"2023-05-17";"0.6%";"0.7%";"0.9%"
"CPI (YoY)";"EUR";"05:00";"2023-05-17";"7.0%";"7.0%";"6.9%"
"Imports";"USD";"10:30";"2023-05-17";"-0.127M";"-0.389M";"1.018M"
"Initial Jobless Claims";"USD";"08:30";"2023-05-18";"242K";"254K";"264K"
"Existing Home Sales";"USD";"10:00";"2023-05-18";"4.28M";"4.30M";"4.43M"
"Existing Home Sales (MoM)";"USD";"10:00";"2023-05-18";"-3.4%";"0.1%";"-2.6%"
"Manufacturing PMI";"EUR";"04:00";"2023-05-23";"44.6";"46.2";"45.8"
"Manufacturing PMI";"EUR";"04:00";"2023-05-23";"55.9";"55.6";"56.2"
"Manufacturing PMI";"USD";"09:45";"2023-05-23";"48.5";"50.0";"50.2"
"Manufacturing PMI";"USD";"09:45";"2023-05-23";"55.1";"52.6";"53.6"
"Imports";"USD";"10:30";"2023-05-24";"-1.249M";"-2.132M";"-0.127M"
"Initial Jobless Claims";"USD";"08:30";"2023-05-25";"229K";"250K";"225K"
"Manufacturing PMI";"EUR";"04:00";"2023-06-01";"44.8";"44.6";"45.8"
"Core CPI (MoM)";"EUR";"05:00";"2023-06-01";"0.2%";"0.8%";"1.0%"
"Core CPI (YoY)";"EUR";"05:00";"2023-06-01";"5.3%";"5.5%";"5.6%"
"CPI (YoY)";"EUR";"05:00";"2023-06-01";"6.1%";"6.3%";"7.0%"
"CPI (MoM)";"EUR";"05:00";"2023-06-01";"0.0%";"0.6%";"0.6%"
"Unemployment Rate";"EUR";"05:00";"2023-06-01";"6.5%";"6.5%";"6.6%"
"Initial Jobless Claims";"USD";"08:30";"2023-06-01";"232K";"235K";"230K"
"Manufacturing PMI";"USD";"09:45";"2023-06-01";"48.4";"48.5";"50.2"
"Manufacturing PMI";"USD";"10:00";"2023-06-01";"46.9";"47.0";"47.1"
"Imports";"USD";"11:00";"2023-06-01";"1.001M";"0.432M";"-1.249M"
"Unemployment Rate";"USD";"08:30";"2023-06-02";"3.7%";"3.5%";"3.4%"
"Manufacturing PMI";"EUR";"04:00";"2023-06-05";"55.1";"55.9";"56.2"
"PPI (MoM)";"EUR";"05:00";"2023-06-05";"-3.2%";"-3.1%";"-1.3%"
"PPI (YoY)";"EUR";"05:00";"2023-06-05";"1.0%";"1.4%";"5.5%"
"Manufacturing PMI";"USD";"09:45";"2023-06-05";"54.9";"55.1";"53.6"
"Manufacturing PMI";"USD";"10:00";"2023-06-05";"50.3";"52.2";"51.9"
"Retail Sales (MoM)";"EUR";"05:00";"2023-06-06";"0.0%";"0.2%";"-0.4%"
"Retail Sales (YoY)";"EUR";"05:00";"2023-06-06";"-2.6%";"-3.0%";"-3.3%"
"Exports";"USD";"08:30";"2023-06-07";"249.00B";"";"258.20B"
"Imports";"USD";"08:30";"2023-06-07";"323.60B";"";"318.80B"
"Imports";"USD";"10:30";"2023-06-07";"1.623M";"0.416M";"1.001M"
"Initial Jobless Claims";"USD";"08:30";"2023-06-08";"261K";"235K";"233K"
"Core CPI (MoM)";"USD";"08:30";"2023-06-13";"0.4%";"0.4%";"0.4%"
"Core CPI (YoY)";"USD";"08:30";"2023-06-13";"5.3%";"5.3%";"5.5%"
"CPI (YoY)";"USD";"08:30";"2023-06-13";"4.0%";"4.1%";"4.9%"
"CPI (MoM)";"USD";"08:30";"2023-06-13";"0.1%";"0.2%";"0.4%"
"CPI (MoM)";"USD";"11:00";"2023-06-13";"0.4%";"0.5%";"0.4%"
"Core PPI (YoY)";"USD";"08:30";"2023-06-14";"2.8%";"2.9%";"3.1%"
"Core PPI (MoM)";"USD";"08:30";"2023-06-14";"0.2%";"0.2%";"0.2%"
"PPI (MoM)";"USD";"08:30";"2023-06-14";"-0.3%";"-0.1%";"0.2%"
"PPI (YoY)";"USD";"08:30";"2023-06-14";"1.1%";"1.5%";"2.3%"
"Imports";"USD";"10:30";"2023-06-14";"-0.814M";"-0.782M";"1.623M"
"Retail Sales (MoM)";"USD";"08:30";"2023-06-15";"0.1%";"0.1%";"0.4%"
"Initial Jobless Claims";"USD";"08:30";"2023-06-15";"262K";"250K";"262K"
"Retail Sales (MoM)";"USD";"08:30";"2023-06-15";"0.3%";"-0.1%";"0.4%"
"Retail Sales (YoY)";"USD";"08:30";"2023-06-15";"1.61%";"";"1.23%"
"Core CPI (MoM)";"EUR";"05:00";"2023-06-16";"0.2%";"0.2%";"1.0%"
"Core CPI (YoY)";"EUR";"05:00";"2023-06-16";"5.3%";"5.3%";"5.6%"
"CPI (YoY)";"EUR";"05:00";"2023-06-16";"6.1%";"6.1%";"7.0%"
"CPI (MoM)";"EUR";"05:00";"2023-06-16";"0.0%";"0.0%";"0.6%"
"Initial Jobless Claims";"USD";"08:30";"2023-06-22";"264K";"260K";"264K"
"Existing Home Sales";"USD";"10:00";"2023-06-22";"4.30M";"4.25M";"4.29M"
"Existing Home Sales (MoM)";"USD";"10:00";"2023-06-22";"0.2%";"";"-3.2%"
"Imports";"USD";"11:00";"2023-06-22";"-1.493M";"-0.048M";"-0.814M"
"Manufacturing PMI";"EUR";"04:00";"2023-06-23";"43.6";"44.8";"44.8"
"Manufacturing PMI";"EUR";"04:00";"2023-06-23";"52.4";"54.5";"55.1"
"Manufacturing PMI";"USD";"09:45";"2023-06-23";"46.3";"48.5";"48.4"
"Manufacturing PMI";"USD";"09:45";"2023-06-23";"54.1";"54.0";"54.9"
"Imports";"USD";"10:30";"2023-06-28";"-0.376M";"0.923M";"-1.493M"
"Initial Jobless Claims";"USD";"08:30";"2023-06-29";"239K";"266K";"265K"
"Core CPI (MoM)";"EUR";"05:00";"2023-06-30";"0.3%";"0.7%";"0.2%"
"Core CPI (YoY)";"EUR";"05:00";"2023-06-30";"5.4%";"5.5%";"5.3%"
"CPI (MoM)";"EUR";"05:00";"2023-06-30";"0.3%";"0.0%";"0.0%"
"CPI (YoY)";"EUR";"05:00";"2023-06-30";"5.5%";"5.6%";"6.1%"
"Unemployment Rate";"EUR";"05:00";"2023-06-30";"6.5%";"6.5%";"6.5%"
"Manufacturing PMI";"EUR";"04:00";"2023-07-03";"43.4";"43.6";"44.8"
"Manufacturing PMI";"USD";"09:45";"2023-07-03";"46.3";"46.3";"48.4"
"Manufacturing PMI";"USD";"10:00";"2023-07-03";"46.0";"47.2";"46.9"
"Manufacturing PMI";"EUR";"04:00";"2023-07-05";"52.0";"52.4";"55.1"
"PPI (MoM)";"EUR";"05:00";"2023-07-05";"-1.9%";"-1.8%";"-3.2%"
"PPI (YoY)";"EUR";"05:00";"2023-07-05";"-1.5%";"-1.3%";"0.9%"
"Retail Sales (YoY)";"EUR";"05:00";"2023-07-06";"-2.9%";"-2.7%";"-2.9%"
"Retail Sales (MoM)";"EUR";"05:00";"2023-07-06";"0.0%";"0.2%";"0.0%"
"Exports";"USD";"08:30";"2023-07-06";"247.10B";"";"249.20B"
"Imports";"USD";"08:30";"2023-07-06";"316.10B";"";"323.60B"
"Initial Jobless Claims";"USD";"08:30";"2023-07-06";"248K";"245K";"236K"
"Manufacturing PMI";"USD";"09:45";"2023-07-06";"54.4";"54.1";"54.9"
"Manufacturing PMI";"USD";"10:00";"2023-07-06";"53.9";"51.0";"50.3"
"Imports";"USD";"11:00";"2023-07-06";"1.895M";"2.054M";"-0.376M"
"Unemployment Rate";"USD";"08:30";"2023-07-07";"3.6%";"3.6%";"3.7%"
